Country,Year,HPI,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000
Czechia,2018,130,2.14949494949493,251992360762.236,2.8303058941211248,2186,1910,10629928,8.604845446950707,-39.94505494505495,0.20564579553125853
Czechia,2019,141.9,2.8478759591805,256794209028.76953,3.565776572048435,2054,1632,10671870,9.153846153846159,-6.038426349496798,0.19246861140549876
Czechia,2020,153.9,3.16129528497801,251109660602.53552,-5.30487954551279,1919,1537,10697858,8.456659619450317,-6.572541382667965,0.17938170426266642
Czechia,2021,184.2,3.83984491500146,290972714482.31274,4.029018306338543,1909,1073,10505772,19.68810916179336,-0.5211047420531527,0.1817096354270776
Czechia,2022,215.3,15.1001651468371,301831228325.55554,2.847170657171489,435212,986,10672118,16.88382193268188,22697.90466212677,40.78028372624815
Czechia,2023,211.7,10.6612601372426,343207874553.7345,-0.08533027592737596,377120,1239,10864042,-1.6720854621458534,-13.347977537384079,34.712678761735276
Denmark,2010,90.66,2.31092436974789,322345594075.47015,1.5828970207819566,17907,3334,5547683,-57.17524799244214,-95.25164403903267,3.227834034496924
Denmark,2011,89.12,2.7586822605125,344315595263.17456,1.310803779396139,13386,1415,5570572,-1.69865431281711,-25.247110068688222,2.4029848281289605
Denmark,2012,86.71,2.3979148566464,326792574244.9627,-0.00543231869326632,11797,1539,5591572,-2.704219030520658,-11.870611086209474,2.1097823653169447
Denmark,2013,90.09,0.789071780078062,344631016965.12024,1.3926734701729515,13153,1605,5614932,3.8980509745127554,11.494447740951088,2.342503880723756
Denmark,2014,93.49,0.56402054044954,352832602064.45154,1.277999793806444,17767,4268,5643475,3.7740037740037646,35.07944955523455,3.148237566393047
Denmark,2015,100,0.452034153691575,301758922337.6373,2.104414587125873,27312,2931,5683483,6.963311584126651,53.72319468677886,4.8055039488989415
Denmark,2016,104.57,0.250000000000031,312181849372.233,3.073045474798548,33501,7001,5728010,4.569999999999993,22.6603690685413,5.848628057562749
Denmark,2017,109.75,1.14713216957602,331610593961.98785,3.056477243935163,35668,4229,5764980,4.953619584967014,6.4684636279514045,6.187011923718729
Denmark,2018,114.59,0.813609467455631,355293374912.39276,1.8600074888522613,36623,2675,5793636,4.410022779043284,2.6774700011214536,6.321246277812413
Denmark,2019,117.13,0.75813157251162,345401473012.6152,1.7114009439059004,37533,1422,5814422,2.216598307007585,2.484777325724272,6.455155817723584
Denmark,2020,122.18,0.420711974110115,355631021931.62103,-1.7801059882174997,36643,1331,5831404,4.311448817553156,-2.371246636293395,6.2837354434712465
Denmark,2021,136.28,1.8530454398968,408378204639.99896,7.382066289775551,36023,1519,5856733,11.540350302831882,-1.6920012007750458,6.150698691574296
Denmark,2022,142.7,7.6965669988926,401945576107.9633,1.5401731070956686,67772,2776,5903037,4.710889345465209,88.1353579657441,11.480869931867273
Denmark,2023,137.28,3.30517811237606,407091920305.4043,2.495184331488943,68912,2356,5946952,-3.798177995795366,1.6821106061500324,11.587784801357063
Germany,2010,83.9,1.1038103778926,3468154343000.007,4.146767545324366,594250,51930,81776930,-38.88403263403263,762.3316693754354,7.266719354712876
Germany,2011,86.8,2.07517283735874,3824828563521.408,3.757968865863475,571672,62654,80274983,3.4564958283670935,-3.799411022297013,7.121421626461136
Germany,2012,89.8,2.00848884782956,3597896500945.3135,0.47429130585554446,589735,85507,80425823,3.4562211981566824,3.1596789767559015,7.332657323257979
Germany,2013,92.6,1.50472330251876,3808086291482.364,0.386224576109953,187545,135515,80645605,3.1180400890868567,-68.19842810753983,2.325545204850283
Germany,2014,95.5,0.906794000434246,3965800686309.79,2.169498928790788,216956,226147,80982500,3.131749460043203,15.682102961955795,2.679047942456704
Germany,2015,100,0.514426137125456,3423568450957.0293,1.652719771746277,316098,420570,81686611,4.712041884816754,45.696823319013994,3.869642725170714
Germany,2016,107.5,0.491747008445174,3537784107980.553,2.2947106768428114,669468,587306,82348669,7.5,111.79127991951863,8.129676024271868
Germany,2017,114.1,1.50949485109628,3763092263752.948,2.7160245193159227,970357,429265,82657002,6.139534883720925,44.944493239408004,11.739562003470681
Germany,2018,121.7,1.73216879766942,4052008447223.5264,1.116443109262249,1063835,369239,82905782,6.660823838737957,9.633361742121714,12.831855322225897
Germany,2019,128.7,1.44565976888253,3957208055215.68,0.987893349167578,1146682,309231,83092962,5.751848808545592,7.78757984085878,13.79998946240477
Germany,2020,138.7,0.144877925813982,3940142541354.0967,-4.095137490646891,1210596,243157,83160871,7.770007770007771,5.573820815186774,14.557278987614259
Germany,2021,154.7,3.06666666666673,4348297440387.527,3.669999861567348,1255694,253867,83196078,11.535688536409518,3.725272510399836,15.093187445687043
Germany,2022,162.5,6.87257438551097,4163596357879.3936,1.3697310553658468,2075445,261019,83797985,5.042016806722697,65.28270422571104,24.767242314955425
Germany,2023,148.7,5.94643667725823,4525703903627.531,-0.2664384100909132,2593007,361493,83280000,-8.4923076923077,24.937398967450353,31.136011047070124
Estonia,2010,63.9,2.97204512015694,19524355419.03797,2.4497459157554147,31,5,1331475,-57.0275722932078,-99.99880447681014,0.023282449914568428
Estonia,2011,69.32,4.9819013145361,23303915794.756855,7.6069766353788,34,5,1327439,8.482003129890446,9.67741935483871,0.02561322968513054
Estonia,2012,74.37,3.93339987296985,23237406116.39883,3.672021159311683,48,0,1322696,7.285054818234293,41.17647058823529,0.03628951777279133
Estonia,2013,82.29,2.78056658954988,25451032780.757328,1.7564946118826583,52,15,1317997,10.64945542557483,8.333333333333332,0.03945380755798382
Estonia,2014,93.58,-0.10617514652171,27055689003.003822,3.3227875359873167,82,84,1314545,13.719771539676742,57.692307692307686,0.06237899805636171
Estonia,2015,100,-0.49232600654737,23311847750.93944,1.8381570483746683,158,73,1315407,6.860440265013894,92.6829268292683,0.12011491500349322
Estonia,2016,104.75,0.148684907627373,24561027787.789555,3.093015834411545,312,43,1315790,4.75,97.46835443037975,0.23711990515203796
Estonia,2017,110.51,3.41723549488054,27469461919.11887,5.634674322293947,405,36,1317384,5.4988066825775705,29.807692307692307,0.3074274471224791
